step,loss,fixed_span_mse,fixed_span_cosine,pooled_loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,0.9582958817481995,0.33866190910339355,0.9940392971038818,1.0404601097106934,575.5649114474654,0.0,1035.17431640625,1532.0,0.34561355199548416
2,0.8580704927444458,0.3247597813606262,0.9457356333732605,0.877474308013916,670.9335783571005,0.0,1049.58203125,1538.0,0.3604026779939886
3,0.6777022480964661,0.24823909997940063,0.9175875782966614,0.6754087805747986,479.02552193403244,0.0,1049.58203125,1538.0,0.3737505089957267
4,0.5499187111854553,0.20412781834602356,0.8873923420906067,0.5141032934188843,423.11091512069106,0.0,1049.58203125,1538.0,0.3869560960010858
5,0.45956355333328247,0.16872638463974,0.8626869320869446,0.40913692116737366,359.51133881136775,0.0,1049.58203125,1540.0,0.4001495429984061
6,0.4145437479019165,0.13824865221977234,0.8606628775596619,0.3804576098918915,302.86225498467684,0.0,1049.58203125,1540.0,0.4131841959897429
7,0.3667171895503998,0.1152212917804718,0.8405974507331848,0.334872305393219,282.1513879671693,0.0,1049.58203125,1540.0,0.42623880998871755
8,0.3776116967201233,0.09368915855884552,0.8528416156768799,0.39727675914764404,298.84305593557656,0.0,1049.58203125,1540.0,0.43912065199401695
9,0.3485488295555115,0.07479236274957657,0.8398593068122864,0.3795410990715027,307.6647081915289,0.0,1049.58203125,1540.0,0.4522332060005283
10,0.34825628995895386,0.05954631045460701,0.8569180965423584,0.4060363173484802,300.60632090177387,0.0,1049.58203125,1540.0,0.46524400699127
11,0.31362494826316833,0.048683974891901016,0.8477523326873779,0.3603314757347107,289.87278717476875,0.0,1049.58203125,1540.0,0.4782653009897331
12,0.2852749824523926,0.04075414314866066,0.8322200775146484,0.3225976526737213,305.6458186963573,0.0,1049.58203125,1540.0,0.4913201049930649
13,0.2809198498725891,0.03750564903020859,0.83724045753479,0.3193803131580353,282.4205912370235,0.0,1049.58203125,1540.0,0.5044274749961914
14,0.28724032640457153,0.034806426614522934,0.8403283357620239,0.3368021249771118,284.1342169800773,0.0,1049.58203125,1540.0,0.5174847820017021
15,0.2733016610145569,0.03369995579123497,0.8240705132484436,0.31438928842544556,273.03857252094895,0.0,1049.58203125,1540.0,0.5304717260005418
16,0.26194947957992554,0.03337286040186882,0.8241913318634033,0.29231494665145874,247.88245602697134,0.0,1049.58203125,1540.0,0.5434307690011337
17,0.2504289746284485,0.03326886147260666,0.8195503354072571,0.2704101800918579,240.45199055504054,0.0,1049.58203125,1540.0,0.5564513669960434
18,0.2615587115287781,0.03296438977122307,0.8089430332183838,0.2954000234603882,222.6683939928189,0.0,1049.58203125,1540.0,0.5694012149906484
19,0.24292899668216705,0.031443092972040176,0.8069448471069336,0.2615828216075897,221.88100306829438,0.0,1049.58203125,1540.0,0.5825672479986679
20,0.27077263593673706,0.02926701493561268,0.8361030220985413,0.31579065322875977,254.83236831985414,0.0,1049.58203125,1540.0,0.5955733519949717
21,0.23525765538215637,0.026679761707782745,0.8043516874313354,0.2562854290008545,228.01953676342964,0.0,1049.58203125,1540.0,0.6085616249911254
22,0.21813778579235077,0.02419503778219223,0.7898507714271545,0.2299153357744217,256.83571989741176,0.0,1049.58203125,1540.0,0.6215625199984061
23,0.2347518801689148,0.02213527075946331,0.8047359585762024,0.26428601145744324,240.88557664258406,0.0,1049.58203125,1540.0,0.6344643049960723
24,0.2558716833591461,0.020623458549380302,0.8172958493232727,0.3070372939109802,289.44336545141414,0.0,1049.58203125,1540.0,0.6474080499901902
25,0.21850696206092834,0.01967906393110752,0.798721194267273,0.23791153728961945,250.7768993882928,0.0,1049.58203125,1540.0,0.6603537649934879
26,0.23231194913387299,0.019514312967658043,0.8087062239646912,0.2638540267944336,236.31444591772743,0.0,1049.58203125,1540.0,0.6733392289897893
27,0.2296881526708603,0.01946134865283966,0.8129224181175232,0.2578691244125366,215.72677261009812,0.0,1049.58203125,1540.0,0.6863962990028085
28,0.23647964000701904,0.018964946269989014,0.8107364177703857,0.2728821039199829,243.843546271557,0.0,1049.58203125,1540.0,0.6993492479959968
29,0.22321562469005585,0.018224304541945457,0.8076173067092896,0.24845917522907257,231.38045512186363,0.0,1049.58203125,1540.0,0.7123373679933138
30,0.21134889125823975,0.017821013927459717,0.7917747497558594,0.22870081663131714,288.68562022503465,0.0,1049.58203125,1540.0,0.7254297920007957
31,0.1958477795124054,0.017978940159082413,0.7866790890693665,0.19840188324451447,241.46078556985594,0.0,1049.58203125,1540.0,0.7384126779943472
32,0.2140955775976181,0.018881840631365776,0.8047059178352356,0.22948628664016724,234.19391853921115,0.0,1049.58203125,1540.0,0.751402807989507
33,0.224249005317688,0.01978302374482155,0.8152652382850647,0.2458788901567459,239.27526529086754,0.0,1049.58203125,1540.0,0.7643843019905034
34,0.22549007833003998,0.0201256200671196,0.8150793313980103,0.24771304428577423,232.86462630471215,0.0,1049.58203125,1540.0,0.7774265539919725
35,0.2002713680267334,0.0200129933655262,0.7898085117340088,0.20255501568317413,209.60625705495477,0.0,1049.58203125,1540.0,0.7904414609947708
36,0.23128852248191833,0.01955541782081127,0.8070471286773682,0.26205679774284363,189.90677121281624,0.0,1049.58203125,1540.0,0.8034600730024977
37,0.18833740055561066,0.018588362261652946,0.7855629920959473,0.18238547444343567,212.56341684400104,0.0,1049.58203125,1540.0,0.8163781379989814
38,0.24756193161010742,0.01725657470524311,0.8203479647636414,0.29654112458229065,239.48140336945653,0.0,1049.58203125,1540.0,0.8293251499999315
39,0.21105116605758667,0.015760794281959534,0.7913724780082703,0.23230622708797455,219.4746410343796,0.0,1049.58203125,1540.0,0.8422585669904947
40,0.2158178687095642,0.014619273133575916,0.8001046180725098,0.24237626791000366,213.89162766118534,0.0,1049.58203125,1540.0,0.8553752589941723
41,0.2171492576599121,0.014062900096178055,0.8036584258079529,0.2454410046339035,267.49752260232344,0.0,1049.58203125,1540.0,0.8682622789929155
42,0.23740334808826447,0.013980751857161522,0.8151304125785828,0.2838191092014313,237.80356778251007,0.0,1049.58203125,1540.0,0.8812302589940373
43,0.2155592143535614,0.013767188414931297,0.8045016527175903,0.24268372356891632,214.95694183045998,0.0,1049.58203125,1540.0,0.8942629020020831
44,0.20479953289031982,0.01322508230805397,0.8074609041213989,0.2216567099094391,232.00117036979645,0.0,1049.58203125,1540.0,0.907223937989329
45,0.19755208492279053,0.012826013378798962,0.8010613322257996,0.2092398852109909,227.27640914637595,0.0,1049.58203125,1540.0,0.9201642029947834
46,0.18982940912246704,0.01265040785074234,0.801814615726471,0.19399508833885193,213.1172043737024,0.0,1049.58203125,1540.0,0.933190833995468
47,0.21802183985710144,0.012842407450079918,0.8106587529182434,0.2482271045446396,252.24580406071618,0.0,1049.58203125,1540.0,0.9461250909953378
48,0.24609076976776123,0.012950572185218334,0.8361557722091675,0.2990492582321167,277.85944624757394,0.0,1049.58203125,1540.0,0.9591715619899333
49,0.22971545159816742,0.013507744297385216,0.81573086977005,0.2692692279815674,242.09978768369183,0.0,1049.58203125,1540.0,0.972123533996637
