step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,6.202329635620117,4325.198350429535,0.0,2476.1787109375,2614.0,0.4348037710005883
2,5.98939847946167,2976.997141957283,0.0,2490.6396484375,2908.0,0.48257581899815705
3,5.846343517303467,4468.315484046936,0.0,2490.6396484375,2908.0,0.5250028720038245
4,5.803375244140625,2258.82942289114,0.0,2514.751953125,2918.0,0.5669730810041074
5,5.164099216461182,1981.1237590909004,0.0,2783.16650390625,3592.0,0.6055669570050668
6,5.764701843261719,2518.0151206851006,0.0,2783.16650390625,3592.0,0.6468390820082277
7,5.335770130157471,1397.7443987429142,0.0,2783.16650390625,3592.0,0.68730225499894
8,5.551865100860596,2287.1979238390923,0.0,2783.16650390625,3592.0,0.7292457260045921
9,5.757993698120117,2147.292273044586,0.0,2783.16650390625,3592.0,0.7710582420113496
10,5.179931640625,1691.8119160532951,0.0,2783.16650390625,3592.0,0.8120130160095869
11,5.5177717208862305,1910.7995134592056,0.0,2783.16650390625,3592.0,0.8521230260084849
12,5.819352149963379,2314.5672907829285,0.0,2783.16650390625,3592.0,0.8939979090064298
13,5.215796947479248,2061.451579272747,0.0,2783.16650390625,3592.0,0.9350804530113237
14,5.475646018981934,1511.8411496281624,0.0,2783.16650390625,3592.0,0.9768592699983856
15,4.793647766113281,1383.1850055456161,0.0,2783.16650390625,3596.0,1.0177205610089004
16,5.486423015594482,1753.4708263278008,0.0,2783.16650390625,3596.0,1.0592767290072516
17,5.616176605224609,1907.46353495121,0.0,2783.16650390625,3596.0,1.1012491820001742
18,5.605007171630859,2220.73789870739,0.0,2783.16650390625,3596.0,1.1412948159995722
19,5.037152290344238,2308.3595322966576,0.0,2783.16650390625,3596.0,1.1823515440046322
20,4.89917516708374,2238.431660592556,0.0,2783.16650390625,3596.0,1.2233509000070626
21,5.025289535522461,1740.1736333966255,0.0,2783.16650390625,3596.0,1.2639076430059504
22,4.925504207611084,1969.4050790667534,0.0,2783.16650390625,3596.0,1.304118116007885
23,4.360965728759766,1877.9785592556,0.0,2783.16650390625,3596.0,1.3440271930012386
24,5.040923595428467,2391.5595375299454,0.0,2783.16650390625,3596.0,1.3857870100036962
25,4.966346263885498,2016.3719937205315,0.0,2783.16650390625,3596.0,1.4273545150063
26,4.669413089752197,10805.044069290161,0.0,2783.16650390625,3596.0,1.4664457450126065
27,4.6174187660217285,1992.384327530861,0.0,2783.16650390625,3596.0,1.508137353011989
28,4.958718299865723,2075.5558212399483,0.0,2783.16650390625,3600.0,1.5503506250097416
29,4.934628963470459,1682.2275481820107,0.0,2783.16650390625,3600.0,1.5909683370118728
30,4.640650749206543,1820.7508008480072,0.0,2783.16650390625,3600.0,1.630725891009206
31,4.827366352081299,1971.8987466096878,0.0,2783.16650390625,3600.0,1.6709200360055547
32,4.829486846923828,2197.294031560421,0.0,2783.16650390625,3600.0,1.7123739270027727
33,4.448507785797119,2067.8662462830544,0.0,2783.16650390625,3600.0,1.7540265670104418
34,4.715400218963623,7937.088240623474,0.0,2783.16650390625,3600.0,1.796184662001906
35,4.602722644805908,2576.197178006172,0.0,2783.16650390625,3600.0,1.8348549240035936
36,4.4167375564575195,2629.6046013832092,0.0,2783.16650390625,3600.0,1.876373210005113
37,3.929011583328247,2847.003464460373,0.0,2783.16650390625,3600.0,1.9165004880051129
38,4.325104713439941,1468.287569642067,0.0,2783.16650390625,3600.0,1.957303867005976
39,4.478970527648926,1936.090550005436,0.0,2783.16650390625,3600.0,1.9973445260111475
40,4.534294605255127,1872.3509693145752,0.0,2783.16650390625,3600.0,2.03811145000509
41,4.477592468261719,1746.6319609880447,0.0,2783.16650390625,3600.0,2.0783497910015285
42,4.10603141784668,2158.1328395605087,0.0,2783.16650390625,3600.0,2.1184435480099637
43,4.54126501083374,1962.5424310564995,0.0,2783.16650390625,3600.0,2.1602128040103707
44,4.09442663192749,1846.5661607384682,0.0,2783.16650390625,3600.0,2.201053338998463
45,3.889787435531616,1745.1200211048126,0.0,2783.16650390625,3600.0,2.2424798290012404
46,3.6796071529388428,2867.75790810585,0.0,2783.16650390625,3600.0,2.2820659420103766
47,3.545771837234497,1945.6040674448013,0.0,2783.16650390625,3600.0,2.3219539860001532
48,3.8709511756896973,2536.577803492546,0.0,2783.16650390625,3600.0,2.3633206530066673
49,3.970919609069824,3081.498496413231,0.0,2783.16650390625,3600.0,2.403274121999857
50,3.88590145111084,1640.9763326346874,0.0,2783.16650390625,3600.0,2.444810430009966
51,3.210548162460327,2461.572650909424,0.0,2783.16650390625,3600.0,2.483850857010111
52,3.6077187061309814,3102.7656601667404,0.0,2783.16650390625,3600.0,2.5258846869983245
53,3.433563232421875,3146.1325550079346,0.0,2783.16650390625,3600.0,2.5660127290029777
54,3.404367208480835,2093.813441157341,0.0,2783.16650390625,3600.0,2.607451400006539
55,3.6390175819396973,2315.3501473665237,0.0,2783.16650390625,3600.0,2.6475345760118216
56,3.6631791591644287,2032.017683148384,0.0,2783.16650390625,3600.0,2.6890990620013326
57,3.0702035427093506,2360.7556586265564,0.0,2783.16650390625,3600.0,2.7307261130044935
58,4.069758892059326,1986.5641872882843,0.0,2783.16650390625,3600.0,2.7712937840115046
59,3.449864149093628,2302.97846698761,0.0,2783.16650390625,3600.0,2.8125605399982305
60,3.09417462348938,2441.3855801820755,0.0,2783.16650390625,3600.0,2.8539321350108366
61,3.344719886779785,2681.6710758805275,0.0,2783.16650390625,3600.0,2.8938153720082482
62,3.3272480964660645,3021.6079080700874,0.0,2783.16650390625,3600.0,2.9350458180124406
63,3.1761276721954346,2408.556030333042,0.0,2783.16650390625,3600.0,2.9761983970092842
64,2.9566454887390137,2773.8479234576225,0.0,2783.16650390625,3600.0,3.0175298930116696
65,3.3629791736602783,4562.8815631866455,0.0,2783.16650390625,3600.0,3.0583307390043046
66,3.5326974391937256,2342.8333451747894,0.0,2783.16650390625,3600.0,3.098445666008047
67,3.6941306591033936,2737.8117172122,0.0,2783.16650390625,3600.0,3.138482449998264
68,3.040870189666748,1706.4619013667107,0.0,2783.16650390625,3600.0,3.175940986999194
69,3.461826801300049,2654.3151886463165,0.0,2783.16650390625,3600.0,3.217318213006365
70,3.248370409011841,2253.6568970680237,0.0,2783.16650390625,3600.0,3.2582956350088352
71,2.874539375305176,2865.2218742370605,0.0,2783.16650390625,3600.0,3.300016573004541
72,3.071431875228882,3059.27202296257,0.0,2783.16650390625,3600.0,3.341742749005789
73,2.910621166229248,2101.532187104225,0.0,2783.16650390625,3614.0,3.382694887011894
74,2.9565885066986084,2308.8475062847137,0.0,2783.16650390625,3614.0,3.4240005820029182
75,3.0700597763061523,2495.349415540695,0.0,2783.16650390625,3614.0,3.465907044010237
76,2.718900442123413,2125.8588802814484,0.0,2783.16650390625,3614.0,3.5075081390095875
77,3.0367705821990967,4588.114631652832,0.0,2783.16650390625,3614.0,3.54775879799854
78,2.8636281490325928,2241.3926954865456,0.0,2783.16650390625,3614.0,3.588238820011611
79,3.103264331817627,3612.088066101074,0.0,2783.16650390625,3614.0,3.6285910730075557
80,3.325883150100708,2599.710493326187,0.0,2783.16650390625,3614.0,3.6666286020044936
81,3.2331321239471436,2720.8350234031677,0.0,2783.16650390625,3614.0,3.7072108430002118
82,2.556896448135376,2585.085940659046,0.0,2783.16650390625,3614.0,3.7484105930052465
83,2.7614681720733643,2927.3203615546227,0.0,2783.16650390625,3614.0,3.7883538650057744
84,2.3850131034851074,3299.630136489868,0.0,2783.16650390625,3614.0,3.829779124003835
85,2.7982566356658936,2455.5277936458588,0.0,2783.16650390625,3614.0,3.8698014430119656
86,2.3503305912017822,2864.9484772086143,0.0,2783.16650390625,3614.0,3.9110882520035375
87,2.9518532752990723,1743.5727791786194,0.0,2783.16650390625,3614.0,3.9497880670096492
88,2.9882569313049316,2581.925969719887,0.0,2783.16650390625,3614.0,3.989308478005114
89,2.519266128540039,2199.7390090823174,0.0,2783.16650390625,3614.0,4.030138004003675
90,2.567840099334717,2749.383590579033,0.0,2783.16650390625,3614.0,4.07094797299942
91,2.5636579990386963,2800.350806236267,0.0,2783.16650390625,3614.0,4.11263539500942
92,2.504854679107666,2815.2810356020927,0.0,2783.16650390625,3614.0,4.1522792110044975
93,3.0265703201293945,3744.735235929489,0.0,2783.16650390625,3614.0,4.191185875009978
94,2.4562361240386963,2035.7200687527657,0.0,2784.09423828125,3614.0,4.230258329000208
95,2.5896639823913574,2717.0757274627686,0.0,2784.09423828125,3614.0,4.271410760004073
96,2.479121208190918,2552.096263229847,0.0,2784.09423828125,3614.0,4.3105476690107025
97,2.4281864166259766,2627.4239870905876,0.0,2784.09423828125,3614.0,4.352790094999364
98,2.3311140537261963,2260.7782775759697,0.0,2784.09423828125,3614.0,4.3942875180073315
99,2.5763115882873535,4568.784270524979,0.0,2784.09423828125,3614.0,4.433635261011659
100,2.346869945526123,7496.076243400574,0.0,2784.09423828125,3614.0,4.474395656012348
101,2.0859382152557373,2011.4930429458618,0.0,2784.09423828125,3614.0,4.51629154800321
102,2.1405975818634033,2534.4025813937187,0.0,2784.09423828125,3614.0,4.558380472008139
103,2.5337319374084473,2580.9982993006706,0.0,2784.09423828125,3614.0,4.598053259003791
104,2.3678455352783203,3193.692742705345,0.0,2784.09423828125,3614.0,4.6393162140011555
105,1.9947447776794434,2412.7644632458687,0.0,2784.09423828125,3614.0,4.6804967610078165
106,1.7917020320892334,2545.851711511612,0.0,2784.09423828125,3614.0,4.721276789001422
