step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,6.187075614929199,5541.299524188042,0.0,2476.1787109375,2614.0,0.4438513039931422
2,6.109889984130859,2771.6545093655586,0.0,2490.6396484375,2908.0,0.489858382003149
3,5.881542682647705,2357.9078246355057,0.0,2490.6396484375,2908.0,0.5327814320044126
4,5.854496955871582,2597.774057149887,0.0,2514.751953125,2918.0,0.5754156530019827
5,5.2247138023376465,2526.6284777522087,0.0,2783.16650390625,3592.0,0.6164370589976897
6,5.683691024780273,1805.4752614796162,0.0,2783.16650390625,3592.0,0.6588712490047328
7,5.308866500854492,2050.695245027542,0.0,2783.16650390625,3592.0,0.7016710820025764
8,5.408659934997559,1348.608463138342,0.0,2783.16650390625,3592.0,0.744259922998026
9,5.684787750244141,1819.9436618089676,0.0,2783.16650390625,3592.0,0.7865074050059775
10,5.195434093475342,2890.677129983902,0.0,2783.16650390625,3592.0,0.8286381319921929
11,5.348986625671387,1714.876383960247,0.0,2783.16650390625,3592.0,0.8700505080050789
12,5.745380401611328,1647.760705024004,0.0,2783.16650390625,3592.0,0.9126945189927937
13,5.148855686187744,1332.784918755293,0.0,2783.16650390625,3592.0,0.9550705620058579
14,5.290031909942627,1297.6432023346424,0.0,2783.16650390625,3592.0,0.9973369560029823
15,4.813873767852783,2122.03975468874,0.0,2783.16650390625,3596.0,1.0403059109958122
16,5.385409355163574,2284.9264037013054,0.0,2783.16650390625,3596.0,1.0829830169968773
17,5.529537200927734,1405.467923283577,0.0,2783.16650390625,3596.0,1.1251533860049676
18,5.545879364013672,1361.9879603385925,0.0,2783.16650390625,3596.0,1.1671406870009378
19,4.9653825759887695,1639.2097260951996,0.0,2783.16650390625,3596.0,1.2102117809990887
20,4.880338191986084,1591.174162209034,0.0,2783.16650390625,3596.0,1.2527949569921475
21,4.892780780792236,1385.0465879142284,0.0,2783.16650390625,3596.0,1.294774645997677
22,4.836973190307617,1953.2243365645409,0.0,2783.16650390625,3596.0,1.3367029369983356
23,4.399908542633057,1344.007040977478,0.0,2783.16650390625,3596.0,1.3786056630051462
24,4.9836554527282715,2225.949965596199,0.0,2783.16650390625,3596.0,1.4208441429946106
25,5.053192138671875,4433.784010410309,0.0,2783.16650390625,3596.0,1.4635666239919374
26,4.610396862030029,2505.432343006134,0.0,2783.16650390625,3596.0,1.5057389639987377
27,4.475858211517334,1555.8987292647362,0.0,2783.16650390625,3596.0,1.5479903529922012
28,4.871514797210693,1523.073756158352,0.0,2783.16650390625,3604.0,1.5908448069967562
29,4.870399475097656,3243.462525010109,0.0,2783.16650390625,3604.0,1.6332395869976608
30,4.631872177124023,7207.584725618362,0.0,2783.16650390625,3604.0,1.6746582329942612
31,4.627098560333252,2304.5209795832634,0.0,2783.16650390625,3604.0,1.7163666959968396
32,4.665962219238281,1929.5823549032211,0.0,2783.16650390625,3604.0,1.7586454010015586
33,4.2621870040893555,1816.9874603748322,0.0,2783.16650390625,3604.0,1.8007735300052445
34,4.529432773590088,1494.4985562562943,0.0,2783.16650390625,3604.0,1.8433671529928688
35,4.355794906616211,2000.5026695132256,0.0,2783.16650390625,3604.0,1.8844808199937688
36,4.198347091674805,2079.0190373659134,0.0,2783.16650390625,3604.0,1.9266052989987656
37,3.764813184738159,10146.270298480988,0.0,2783.16650390625,3604.0,1.9678284440014977
38,4.144845008850098,2115.2467893362045,0.0,2783.16650390625,3604.0,2.0100239330058685
39,4.247213363647461,1702.5399824082851,0.0,2783.16650390625,3604.0,2.051798543994664
40,4.388307094573975,2099.5947521328926,0.0,2783.16650390625,3604.0,2.0931061640003463
41,4.260940074920654,1908.0124415755272,0.0,2783.16650390625,3604.0,2.134447033997276
42,4.064138412475586,7982.031970977783,0.0,2783.16650390625,3604.0,2.1757674209948163
43,4.373132705688477,1997.4802495241165,0.0,2783.16650390625,3604.0,2.218479960996774
44,4.045104026794434,1571.6014078855515,0.0,2783.16650390625,3604.0,2.260878494998906
45,3.910327196121216,1640.3320958018303,0.0,2783.16650390625,3604.0,2.3031486889958614
46,3.7877755165100098,2037.4101610183716,0.0,2783.16650390625,3604.0,2.344711637997534
47,3.535127639770508,1560.407479852438,0.0,2783.16650390625,3604.0,2.385540695002419
48,3.9148614406585693,2446.0641598701477,0.0,2783.16650390625,3604.0,2.427737177000381
49,3.888791561126709,1656.948271483183,0.0,2783.16650390625,3604.0,2.469067587997415
50,3.766772985458374,1982.4711474776268,0.0,2783.16650390625,3604.0,2.5112762630014913
51,3.368626832962036,1962.955836892128,0.0,2783.16650390625,3604.0,2.5536146759986877
52,3.6583054065704346,2830.7453274726868,0.0,2783.16650390625,3604.0,2.5967846190033015
53,3.1633031368255615,1802.1626588404179,0.0,2783.16650390625,3604.0,2.6378828209999483
54,3.4684579372406006,1752.8980116546154,0.0,2783.16650390625,3604.0,2.680400199998985
55,3.5461764335632324,2384.614600300789,0.0,2783.16650390625,3604.0,2.722028167001554
56,3.6202166080474854,2196.4871972203255,0.0,2783.16650390625,3604.0,2.764217706004274
57,2.923405408859253,1957.9785879850388,0.0,2783.16650390625,3604.0,2.8064298349927412
58,3.9434268474578857,1928.0735926926136,0.0,2783.16650390625,3604.0,2.848253948002821
59,3.791590452194214,2694.0154128074646,0.0,2783.16650390625,3604.0,2.8905102650023764
60,3.0724170207977295,3019.599826693535,0.0,2783.16650390625,3604.0,2.9327013139991323
61,3.3301539421081543,2163.3737128973007,0.0,2783.16650390625,3604.0,2.9750817509921035
62,3.377934217453003,2430.0951231718063,0.0,2783.16650390625,3604.0,3.017225460993359
63,3.3178153038024902,2101.236502468586,0.0,2783.16650390625,3604.0,3.059296427993104
64,3.0533804893493652,2847.0882185697556,0.0,2783.16650390625,3604.0,3.1015080460056197
65,3.2455379962921143,2174.708691239357,0.0,2783.16650390625,3604.0,3.1437734229984926
66,3.5472488403320312,2730.288054704666,0.0,2783.16650390625,3604.0,3.1857020089955768
67,3.3221471309661865,2431.03764423728,0.0,2783.16650390625,3604.0,3.2275353820004966
68,3.171006441116333,3122.672935426235,0.0,2783.16650390625,3604.0,3.269068673995207
69,3.474409580230713,2733.3613936901093,0.0,2783.16650390625,3604.0,3.3113300429977244
70,3.2582621574401855,2650.4249170422554,0.0,2783.16650390625,3604.0,3.353876802997547
71,2.780240297317505,2659.913581967354,0.0,2783.16650390625,3604.0,3.396096572992974
72,3.075300693511963,8522.516516685486,0.0,2783.16650390625,3604.0,3.4383917819941416
73,3.0561177730560303,2421.7521603107452,0.0,2783.16650390625,3614.0,3.4810776709928177
74,2.756540298461914,2992.0592280626297,0.0,2783.16650390625,3614.0,3.523342404005234
75,2.9580678939819336,3022.8189054727554,0.0,2783.16650390625,3614.0,3.565491486006067
76,2.489743232727051,2466.1953429579735,0.0,2783.16650390625,3614.0,3.607572763998178
77,3.236785650253296,2370.5832118988037,0.0,2783.16650390625,3614.0,3.6493289560021367
78,2.6852598190307617,3016.441790342331,0.0,2783.16650390625,3614.0,3.6918900290038437
79,2.9811034202575684,2999.459602832794,0.0,2783.16650390625,3614.0,3.7345701290032594
80,3.445896863937378,3550.920264482498,0.0,2783.16650390625,3614.0,3.7742595210002037
81,3.0289676189422607,2491.459163069725,0.0,2783.16650390625,3614.0,3.8164162670000223
82,2.488950252532959,2157.6173929572105,0.0,2783.16650390625,3614.0,3.8586595359956846
83,2.4000768661499023,2292.619623184204,0.0,2783.16650390625,3614.0,3.899882675992558
84,2.313598871231079,3394.5949218273163,0.0,2783.16650390625,3614.0,3.9420912170025986
85,2.6511921882629395,2387.621094763279,0.0,2783.16650390625,3614.0,3.982789576999494
86,2.120809316635132,2566.3571912050247,0.0,2783.16650390625,3614.0,4.024945597993792
87,2.7907028198242188,2524.6858048439026,0.0,2783.16650390625,3614.0,4.0664304709935095
88,2.650890350341797,3184.070146918297,0.0,2783.16650390625,3614.0,4.108625820997986
89,2.2450153827667236,2489.260099232197,0.0,2783.16650390625,3614.0,4.150975248005125
90,2.337052345275879,2272.809924453497,0.0,2783.16650390625,3614.0,4.193631952002761
91,2.3812880516052246,2902.5404519438744,0.0,2783.16650390625,3614.0,4.236172411998268
92,2.5489518642425537,2946.399364709854,0.0,2783.16650390625,3614.0,4.278276426004595
93,2.7588441371917725,3147.887208223343,0.0,2783.16650390625,3614.0,4.320638992998283
94,2.340542793273926,2727.7935213446617,0.0,2784.09423828125,3614.0,4.361923296004534
95,2.6429996490478516,2852.952599942684,0.0,2784.09423828125,3614.0,4.404165924992412
96,2.473102569580078,4093.1024140119553,0.0,2784.09423828125,3614.0,4.445575069999904
97,2.21631121635437,3561.145020902157,0.0,2784.09423828125,3614.0,4.487989350993303
98,2.08547306060791,2806.3470528125763,0.0,2784.09423828125,3614.0,4.530152228995576
99,2.454698324203491,2246.409311592579,0.0,2784.09423828125,3614.0,4.571486354994704
100,2.3002865314483643,2798.663397848606,0.0,2784.09423828125,3614.0,4.613742389003164
101,2.0984106063842773,3504.665563225746,0.0,2784.09423828125,3614.0,4.656702797001344
102,2.0369985103607178,4067.1490113139153,0.0,2784.09423828125,3614.0,4.699379786005011
103,2.255276918411255,2834.978925704956,0.0,2784.09423828125,3614.0,4.7416008620057255
104,2.104065418243408,3503.1786680221558,0.0,2784.09423828125,3614.0,4.783823029996711
105,1.9058563709259033,2477.7901378571987,0.0,2784.09423828125,3614.0,4.826124867002363
106,2.0877625942230225,3193.82761490345,0.0,2784.09423828125,3614.0,4.868793225003174
107,2.0641849040985107,2845.9691147208214,0.0,2784.09423828125,3614.0,4.911476599998423
108,2.3381717205047607,3660.480607151985,0.0,2784.09423828125,3614.0,4.953786910002236
109,1.8043498992919922,3901.067549109459,0.0,2784.09423828125,3614.0,4.996088792991941
110,1.7552084922790527,2121.1139984726906,0.0,2784.09423828125,3614.0,5.038569694996113
111,2.1069462299346924,2649.5037551522255,0.0,2784.09423828125,3614.0,5.0808750330033945
112,2.4050955772399902,2783.3439537882805,0.0,2784.09423828125,3614.0,5.122757934994297
113,2.086482524871826,2647.9629433751106,0.0,2784.09423828125,3614.0,5.165017531006015
114,2.1861071586608887,2491.404113829136,0.0,2784.09423828125,3614.0,5.208125014003599
115,2.218841075897217,3070.400242269039,0.0,2784.09423828125,3614.0,5.250920563004911
116,1.808169960975647,4456.365620732307,0.0,2784.09423828125,3616.0,5.293603420999716
117,2.364945411682129,2917.813007712364,0.0,2784.09423828125,3616.0,5.334724514992558
118,2.1815507411956787,2686.9877605438232,0.0,2784.09423828125,3616.0,5.377090583002428
119,2.0838749408721924,2668.7273804545403,0.0,2784.09423828125,3616.0,5.4191361679986585
120,1.5637930631637573,2720.310203075409,0.0,2784.09423828125,3616.0,5.461587584999506
121,1.7815344333648682,4738.986279845238,0.0,2784.09423828125,3616.0,5.503799732992775
122,1.6888039112091064,2633.049289882183,0.0,2784.09423828125,3616.0,5.546073813005933
123,1.7161023616790771,2859.2103666067123,0.0,2784.09423828125,3616.0,5.588383255992085
124,1.6057435274124146,2542.9939438700676,0.0,2784.09423828125,3616.0,5.630985112002236
125,1.8895347118377686,2452.2088698148727,0.0,2784.09423828125,3616.0,5.673391296993941
126,1.5890684127807617,3264.093430995941,0.0,2784.09423828125,3616.0,5.716099609999219
127,1.872062087059021,2799.6337134838104,0.0,2784.09423828125,3616.0,5.758552458995837
128,1.7471743822097778,3528.0976333618164,0.0,2784.09423828125,3616.0,5.80083758100227
129,1.6046663522720337,3154.9307222366333,0.0,2784.09423828125,3616.0,5.8431228260014905
130,1.5128675699234009,2277.5101369023323,0.0,2784.09423828125,3616.0,5.885392027004855
131,1.666215419769287,2020.27541577816,0.0,2784.09423828125,3616.0,5.927775522999582
132,2.0900354385375977,2490.7553699612617,0.0,2784.09423828125,3616.0,5.969137239997508
133,1.6123312711715698,17762.331607818604,0.0,2784.09423828125,3616.0,6.011873597992235
134,2.0330300331115723,2027.7811940312386,0.0,2784.09423828125,3616.0,6.05367107699567
135,1.521808385848999,7891.252016544342,0.0,2784.09423828125,3616.0,6.095995761002996
136,1.5898171663284302,5857.114742279053,0.0,2784.09423828125,3616.0,6.138317026998266
137,1.6362037658691406,2992.0443997979164,0.0,2784.09423828125,3616.0,6.180797155000619
138,1.6771570444107056,3126.043860435486,0.0,2784.09423828125,3616.0,6.223481424996862
139,1.3227025270462036,2677.6861451864243,0.0,2784.09423828125,3616.0,6.265667674000724
140,1.50715970993042,3003.6982694864273,0.0,2784.09423828125,3616.0,6.308022843993967
141,1.8941421508789062,5128.165194034576,0.0,2784.09423828125,3616.0,6.349308368997299
142,1.663931965827942,2747.292958855629,0.0,2784.09423828125,3616.0,6.391412344004493
143,1.609412431716919,6682.173023939133,0.0,2784.09423828125,3616.0,6.433665144999395
144,1.6672405004501343,2989.4148432016373,0.0,2784.09423828125,3616.0,6.475931086999481
145,1.2786437273025513,5854.409279346466,0.0,2784.09423828125,3616.0,6.518123757996364
146,1.309589147567749,2568.5389142632484,0.0,2784.09423828125,3616.0,6.560393203995773
147,1.447498083114624,2522.6200253367424,0.0,2784.09423828125,3616.0,6.602771952006151
148,2.0581858158111572,3704.557391166687,0.0,2784.09423828125,3616.0,6.644287917995825
149,1.705502986907959,3030.374712586403,0.0,2784.09423828125,3616.0,6.68680054199649
150,1.2826488018035889,2973.237513422966,0.0,2784.09423828125,3616.0,6.729372632995364
151,1.290397047996521,2770.4228489995003,0.0,2784.09423828125,3616.0,6.772124152004835
