step,loss,top1,top5,valid_spans,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,11.970450401306152,0.0,0.0,384,1481.7933853566647,0.0,3848.48974609375,4540.0,0.24426015399512835
2,11.144856452941895,0.11197916666666667,0.18229166666666666,384,1146.9478810727596,0.0,3848.48974609375,4542.0,0.2928192340041278
3,10.670636177062988,0.09809264305177112,0.20435967302452315,367,1007.5331618189812,0.0,3848.48974609375,4542.0,0.3390593380026985
4,9.366304397583008,0.09114583333333333,0.2421875,384,1133.84728500247,0.0,3848.48974609375,4544.0,0.3865133719955338
5,8.275419235229492,0.09703504043126684,0.24528301886792453,371,1095.3612883239985,0.0,3848.48974609375,4544.0,0.43219553999369964
6,6.781144618988037,0.09333333333333334,0.2,375,1155.0697270035744,0.0,3848.48974609375,4544.0,0.47843660599028226
7,6.466258525848389,0.1171875,0.2109375,384,1138.3519321084023,0.0,3848.48974609375,4544.0,0.5256202969903825
8,7.0613932609558105,0.16032608695652173,0.20108695652173914,368,1408.5071582198143,0.0,3848.48974609375,4544.0,0.5712674879905535
9,6.781949520111084,0.1820580474934037,0.24010554089709762,379,1211.8940131366253,0.0,3848.48974609375,4544.0,0.6178300059982575
10,7.0545501708984375,0.171875,0.2838541666666667,384,2743.7690911889076,0.0,3848.48974609375,4544.0,0.6652286710013868
11,6.99121618270874,0.171875,0.2734375,384,1410.846350491047,0.0,3848.48974609375,4544.0,0.7123719869996421
12,5.501852035522461,0.23958333333333334,0.3359375,384,1101.329979211092,0.0,3848.48974609375,4544.0,0.7592963549977867
13,5.35605525970459,0.2749326145552561,0.38544474393531,371,1279.1533156335354,0.0,3848.48974609375,4544.0,0.804779605998192
14,5.006267547607422,0.3151041666666667,0.40625,384,1153.228694319725,0.0,3848.48974609375,4544.0,0.8515588650043355
15,5.903081893920898,0.2552083333333333,0.34375,384,1449.6433971226215,0.0,3848.48974609375,4544.0,0.8988855600036914
16,5.8181281089782715,0.28125,0.3567708333333333,384,1389.2885150313377,0.0,3848.48974609375,4544.0,0.9461566679965472
17,4.786983489990234,0.3255208333333333,0.4453125,384,1342.4026403725147,0.0,3848.48974609375,4544.0,0.9930291539931204
18,5.157320976257324,0.336,0.41333333333333333,375,1222.451701104641,0.0,3848.48974609375,4544.0,1.0391476039949339
19,4.445341110229492,0.3880208333333333,0.4817708333333333,384,893.8484054803848,0.0,3848.48974609375,4544.0,1.0858839269931195
20,4.860861778259277,0.3421750663129973,0.44297082228116713,377,933.6478787064552,0.0,3848.48974609375,4544.0,1.1319687380018877
21,5.428165912628174,0.316622691292876,0.41160949868073876,379,1400.9367417097092,0.0,3848.48974609375,4544.0,1.1785277299932204
22,4.809873104095459,0.3619791666666667,0.4296875,384,1256.8687373399734,0.0,3848.48974609375,4544.0,1.2257056550006382
23,6.0383782386779785,0.2991913746630728,0.3638814016172507,371,1085.3878144025803,0.0,3848.48974609375,4544.0,1.272069972997997
24,3.730168581008911,0.4869791666666667,0.5520833333333334,384,2844.173804551363,0.0,3848.48974609375,4544.0,1.3183226099936292
25,4.261561393737793,0.4088541666666667,0.4921875,384,876.2509252727032,0.0,3848.48974609375,4544.0,1.3651311159919715
26,5.56850004196167,0.3645833333333333,0.4114583333333333,384,1729.5509819686413,0.0,3848.48974609375,4544.0,1.4123140610026894
27,4.027909278869629,0.43466666666666665,0.5066666666666667,375,946.9324751496315,0.0,3848.48974609375,4544.0,1.4580155159928836
