step,loss,top1,top5,valid_spans,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,11.973531723022461,0.0,0.0,332,1650.3788267672062,0.0,3848.48974609375,4540.0,0.23961381999833975
2,10.845803260803223,0.23943661971830985,0.30140845070422534,355,1276.223728865385,0.0,3848.48974609375,4542.0,0.2865479190077167
3,10.410117149353027,0.1954674220963173,0.3286118980169972,353,1072.7825199067593,0.0,3848.48974609375,4542.0,0.3319807119987672
4,9.237530708312988,0.19658119658119658,0.39316239316239315,351,1393.7376464307308,0.0,3848.48974609375,4542.0,0.3771348760055844
5,7.904205322265625,0.24702380952380953,0.46130952380952384,336,1291.4863044023514,0.0,3848.48974609375,4542.0,0.420778750005411
6,6.616232872009277,0.2147239263803681,0.4171779141104294,326,1240.952795356512,0.0,3848.48974609375,4542.0,0.46378041899879463
7,6.135349273681641,0.19553072625698323,0.388268156424581,358,1400.8086213767529,0.0,3848.48974609375,4544.0,0.5093696940020891
8,6.054082870483398,0.2676923076923077,0.39384615384615385,325,1334.198333799839,0.0,3848.48974609375,4544.0,0.5521494670101674
9,6.175119400024414,0.28273809523809523,0.38392857142857145,336,1242.1055436730385,0.0,3848.48974609375,4544.0,0.5959624430106487
10,5.9391655921936035,0.3909348441926346,0.5070821529745042,353,2578.2124621868134,0.0,3848.48974609375,4544.0,0.6413906020025024
11,5.994836807250977,0.38309859154929576,0.49014084507042255,355,2370.7034453749657,0.0,3848.48974609375,4544.0,0.6868956490070559
12,4.438025951385498,0.4785100286532951,0.6561604584527221,349,2110.8596249222755,0.0,3848.48974609375,4544.0,0.7316732410108671
13,3.3797714710235596,0.6102719033232629,0.7734138972809668,331,1361.580725967884,0.0,3848.48974609375,4544.0,0.7748854210076388
14,3.2672719955444336,0.6416184971098265,0.7572254335260116,346,1394.4370389282703,0.0,3848.48974609375,4544.0,0.8192584740027087
15,4.5502166748046875,0.5114942528735632,0.6120689655172413,348,1688.3608775138855,0.0,3848.48974609375,4544.0,0.8643020690069534
16,3.8541219234466553,0.6309859154929578,0.7126760563380282,355,1479.3620820641518,0.0,3848.48974609375,4544.0,0.9096016359981149
17,2.8751347064971924,0.7190332326283988,0.7794561933534743,331,1807.7599697113037,0.0,3848.48974609375,4544.0,0.9529392390104476
18,3.513596296310425,0.6568047337278107,0.7159763313609467,338,1469.5727997422218,0.0,3848.48974609375,4544.0,0.996745220007142
19,2.629169225692749,0.7365269461077845,0.7994011976047904,334,1365.336093902588,0.0,3848.48974609375,4544.0,1.0401487729977816
