step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,6.599358558654785,20601.773575782776,0.0,1724.5546875,1766.0,0.42660856700968
2,5.86564826965332,15804.76126074791,0.0,1762.9033203125,1918.0,0.45652972599782515
3,5.536627769470215,4519.339460372925,0.0,1774.7568359375,2060.0,0.48229610901034903
4,6.37160062789917,3633.826159119606,0.0,1774.7568359375,2060.0,0.5068670350010507
5,5.691046237945557,2408.901548922062,0.0,1774.7568359375,2060.0,0.531394290010212
6,5.5455780029296875,2409.7391415834427,0.0,1774.7568359375,2060.0,0.5555739800038282
7,5.98640775680542,55908.83925819397,0.0,1774.7568359375,2060.0,0.579832631003228
8,5.537928581237793,6548.365863800049,0.0,1774.7568359375,2060.0,0.604183257004479
9,7.904955863952637,141304.18341827393,0.0,1774.7568359375,2062.0,0.6287566579994746
10,4.968013286590576,2417.2281644642353,0.0,1774.7568359375,2062.0,0.6529919410095317
11,5.08913516998291,6040.61728811264,0.0,1774.7568359375,2062.0,0.6775342030014144
12,5.540385723114014,5816.816280961037,0.0,1774.7568359375,2062.0,0.7022322060074657
13,5.135252952575684,2918.6767339110374,0.0,1774.7568359375,2062.0,0.7265822100016521
14,5.170811176300049,2474.2671674489975,0.0,1774.7568359375,2062.0,0.750815944003989
15,5.163721561431885,2359.877164244652,0.0,1774.7568359375,2062.0,0.7753670149977552
16,4.653549671173096,7616.894796848297,0.0,1774.7568359375,2062.0,0.7996563350025099
17,5.520615577697754,2522.3665918409824,0.0,1774.7568359375,2062.0,0.8240143180009909
18,5.127326488494873,1845.7254974246025,0.0,1774.7568359375,2062.0,0.8482117600069614
19,5.5208964347839355,2518.092597723007,0.0,1774.7568359375,2062.0,0.8725011400092626
20,5.273296356201172,1984.5905208587646,0.0,1774.7568359375,2062.0,0.896946149005089
