step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,8.146851539611816,65681.28940868378,0.0,1157.45654296875,1580.0,0.3463567669969052
2,7.629504203796387,24804.764575958252,0.0,1196.00927734375,1590.0,0.37251923099393025
3,7.605907440185547,12626.391043663025,0.0,1202.0947265625,1592.0,0.40969551099988166
4,6.491973876953125,7000.547769367695,0.0,1202.0947265625,1592.0,0.4329161610075971
5,7.239664077758789,10919.36050105095,0.0,1202.0947265625,1592.0,0.45552050600235816
6,6.483582496643066,12709.166145563126,0.0,1202.0947265625,1592.0,0.4780448210076429
7,6.842883110046387,4825.843768924475,0.0,1208.16748046875,1594.0,0.5009379639959661
8,6.63357400894165,3468.65049842,0.0,1208.16748046875,1594.0,0.5233499680034583
9,7.002570152282715,3013.2272966206074,0.0,1208.16748046875,1594.0,0.546159539007931
10,6.237631797790527,2929.7264738827944,0.0,1208.16748046875,1594.0,0.5685574770031963
11,6.003080368041992,2458.568726055324,0.0,1208.16748046875,1594.0,0.5911178050009767
12,6.078366279602051,4194.940344229341,0.0,1208.16748046875,1594.0,0.6134893809939967
13,6.501595973968506,2791.8924753144383,0.0,1208.16748046875,1594.0,0.6357837190007558
14,6.0188117027282715,2567.9703805595636,0.0,1208.16748046875,1594.0,0.6581804760062369
15,6.011519908905029,2682.2175080776215,0.0,1208.16748046875,1594.0,0.680507558005047
16,6.225711345672607,2232.223766490817,0.0,1208.16748046875,1594.0,0.7031366230075946
17,6.166502952575684,3236.195469394326,0.0,1208.16748046875,1594.0,0.7261285730055533
18,6.48122501373291,1977.6595417782664,0.0,1208.16748046875,1594.0,0.7486799830076052
19,5.740375518798828,2057.643692456186,0.0,1208.16748046875,1594.0,0.7710894150077365
20,6.37623405456543,2983.796841159463,0.0,1208.16748046875,1594.0,0.793508048998774
