bucket,count,mean_input_byte_len,mean_input_token_len,mean_tokens_per_byte,mean_bytes_per_token,mean_tokenizer_loss,mean_phase5_prefix_p64_loss,mean_phase5_prefix_p64_gain_vs_tokenizer,mean_phase6_kv_p32_all_loss,mean_phase6_kv_p32_all_gain_vs_tokenizer
clean_english,500,126.104,27.24,0.2183789057635799,4.677905303996353,0.30890142926573755,0.5440767985563725,-0.8881803228818238,0.49845866935979577,-0.7371759540948765
code,120,54.5,24.25,0.45346252949189597,2.317081385996427,0.3875852378706137,0.7877816540499528,-1.1774951582590603,1.3461730279028417,-2.9577827349034314
multilingual_ar,80,81.65,23.3375,0.28576908242727006,3.5070988142292494,0.380582083016634,5.429801505804062,-13.686657564986561,10.75029684305191,-28.424898256643814
multilingual_hi,80,112.225,43.0875,0.3836911620294599,2.607023680684395,0.20375295225530862,3.910577413439751,-18.372680121578373,5.0683850169181826,-24.137861338107097
multilingual_ja,80,72.1,21.35,0.2969572368421053,3.376645962732919,0.5564543843269348,4.421061012148857,-6.945513410201874,11.055538475513458,-19.1171488444082
multilingual_ko,80,59.0375,19.675,0.3354863643570636,2.9921992481203006,0.37660561315715313,4.93992006778717,-12.316294609878097,10.546202921867371,-27.763320909446588
multilingual_latin,80,54.025,19.9625,0.3705357142857143,2.751841432225064,0.41324442997574806,5.395649611949921,-12.869373198797266,9.428616178035735,-22.84209464744293
multilingual_ru,80,97.0,23.3125,0.2404734129137276,4.1737717391304345,0.3207838121801615,5.842176395654678,-17.32107487131018,8.884475302696227,-26.842713355572425
multilingual_zh,80,58.0,18.3375,0.3178843045424403,3.15906432748538,0.6084793820977211,4.9432407259941105,-7.190213513558904,11.121718811988831,-17.359165859425282
tokenizer_stress,120,42.6,24.2,0.5840184244690344,1.9629828984225268,0.48062532022595406,1.5118483471373716,-2.4987034195557807,1.5969179809093474,-2.8784022999692183
typo_noise_heavy,200,132.25,50.67,0.38512922529942967,2.661025168565416,2.8353178641200065,0.6685670756455511,0.6127714244053664,0.5986323460889981,0.6608776242893855
typo_noise_light,200,128.61,39.28,0.3073014514237007,3.4230003247702143,1.3838238319009541,0.5816541236266494,0.3445736004021898,0.5167389491887298,0.41649045288347475
typo_noise_medium,200,130.12,43.615,0.3377931896344852,3.065636656113219,1.842755225598812,0.6096663131471723,0.47557546629529057,0.5298217818071135,0.527758117855675
unicode_stress,128,60.3046875,23.5,0.38272655899665725,2.7136274794190696,0.5613888148218393,0.9630478331819177,-0.8868718701655541,0.9808715163671877,-1.1466260157364874
