step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,6.9924516677856445,16968.055940389633,0.0,4590.46484375,4680.0,0.42648177000228316
2,7.361776828765869,40177.36427593231,0.0,4644.55859375,4698.0,0.46226920490153134
3,5.988281726837158,14720.323763847351,0.0,4644.951171875,4914.0,0.4961986329872161
4,5.877281665802002,7302.271493434906,0.0,4644.951171875,4914.0,0.5300949269440025
5,9.78159236907959,94634.99889850616,0.0,4644.951171875,4914.0,0.5639547359896824
6,6.13446044921875,3299.1727426946163,0.0,4644.951171875,4914.0,0.5977210879791528
7,6.195026397705078,3551.649186849594,0.0,4644.951171875,4914.0,0.6315223400015384
8,6.2265543937683105,4238.7744663357735,0.0,4644.951171875,4914.0,0.6653283279156312
9,5.171363353729248,10320.059994637966,0.0,4659.8515625,4914.0,0.6991934439865872
10,5.735373020172119,4020.648317322135,0.0,4659.8515625,4914.0,0.7330202179728076
11,5.554327011108398,2892.9505034685135,0.0,4659.8515625,4914.0,0.7667827679542825
12,4.837969779968262,2108.579895429313,0.0,4754.48095703125,5148.0,0.8009093009168282
13,6.419834136962891,1699.1923519968987,0.0,4754.48095703125,5148.0,0.834668323979713
14,5.571163654327393,1772.0569524466991,0.0,4754.48095703125,5148.0,0.8683181349188089
15,5.2010498046875,3118.0077876597643,0.0,4799.98291015625,5148.0,0.9024943659314886
16,5.926039695739746,3608.0716037750244,0.0,4799.98291015625,5148.0,0.9362798749934882
17,5.288961410522461,1001.6913735046983,0.0,4799.98291015625,5148.0,0.970081680919975
18,5.74537467956543,2097.5892859846354,0.0,4799.98291015625,5148.0,1.0036965319886804
19,3.635425090789795,3287.0088745243847,0.0,4799.98291015625,5148.0,1.0377671129535884
20,5.671271800994873,1963.5458947308362,0.0,4799.98291015625,5148.0,1.072669886983931
21,5.216922283172607,2268.7448295913637,0.0,4799.98291015625,5148.0,1.1065372829325497
22,4.9851250648498535,89525.23471617699,0.0,4799.98291015625,5148.0,1.1405245969071984
23,4.921168804168701,1519.6342813838273,0.0,4799.98291015625,5148.0,1.174308415967971
