step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,6.9924516677856445,16968.055940389633,0.0,4590.46484375,4680.0,0.4325260530458763
2,7.361776828765869,40177.36427593231,0.0,4644.55859375,4698.0,0.46821895497851074
3,5.988281726837158,14720.323763847351,0.0,4644.951171875,4914.0,0.5021993389818817
4,5.877281665802002,7302.271493434906,0.0,4644.951171875,4914.0,0.5360126390587538
5,9.78159236907959,94634.99889850616,0.0,4644.951171875,4914.0,0.5698965530609712
6,6.13446044921875,3299.1727426946163,0.0,4644.951171875,4914.0,0.6036820990266278
7,6.195026397705078,3551.649186849594,0.0,4644.951171875,4914.0,0.6374641370493919
8,6.2265543937683105,4238.7744663357735,0.0,4644.951171875,4914.0,0.6712712820153683
9,5.171363353729248,10320.059994637966,0.0,4659.8515625,4914.0,0.7052225259831175
10,5.735373020172119,4020.648317322135,0.0,4659.8515625,4914.0,0.7389919840497896
11,5.554327011108398,2892.9505034685135,0.0,4659.8515625,4914.0,0.7728823670186102
12,4.837969779968262,2108.579895429313,0.0,4754.48095703125,5148.0,0.8070956940064207
13,6.419834136962891,1699.1923519968987,0.0,4754.48095703125,5148.0,0.8408906430704519
14,5.571163654327393,1772.0569524466991,0.0,4754.48095703125,5148.0,0.8746636840514839
15,5.2010498046875,3118.0077876597643,0.0,4799.98291015625,5148.0,0.9090234470786527
16,5.926039695739746,3608.0716037750244,0.0,4799.98291015625,5148.0,0.9428855900187045
17,5.288961410522461,1001.6913735046983,0.0,4799.98291015625,5148.0,0.9767595670418814
18,5.74537467956543,2097.5892859846354,0.0,4799.98291015625,5148.0,1.0105051680002362
19,3.635425090789795,3287.0088745243847,0.0,4799.98291015625,5148.0,1.0445780040463433
20,5.671271800994873,1963.5458947308362,0.0,4799.98291015625,5148.0,1.079361840034835
