run,bucket,tokenizer_loss,run_loss,delta_vs_tokenizer,relative_gain_vs_tokenizer,clean_retention_vs_tokenizer,llm_trainable_params,checksum_delta
target_only,clean_english,0.6026182875037194,5.401350594997406,4.798732307493687,-7.963137539970639,8.963137539970639,0,0.0
target_only,typo_noise_light,1.4079924085736275,5.369834251403809,3.9618418428301814,-2.8138232981268283,8.963137539970639,0,0.0
target_only,typo_noise_medium,1.7133036196231841,5.369765601158142,3.656461981534958,-2.134158791037366,8.963137539970639,0,0.0
target_only,typo_noise_heavy,2.542591813504696,5.369575822353363,2.8269840088486675,-1.1118512982828994,8.963137539970639,0,0.0
target_only,unicode_stress,0.7818000107072294,4.476714391261339,3.69491438055411,-4.726163123497054,8.963137539970639,0,0.0
target_only,code,0.6087281187375386,3.1388896028200786,2.53016148408254,-4.156472169102235,8.963137539970639,0,0.0
target_only,tokenizer_stress,0.6057325550665458,3.6471391141414644,3.0414065590749186,-5.021038631051933,8.963137539970639,0,0.0
target_only,multilingual_zh,0.5048719346523285,3.153101143240929,2.6482292085886003,-5.24534842764088,8.963137539970639,0,0.0
target_only,multilingual_ar,0.43961867354810236,2.37095422744751,1.9313355538994075,-4.393206362941459,8.963137539970639,0,0.0
tokenizer,clean_english,0.6026182875037194,0.6026182875037194,0.0,0.0,1.0,0,0.0
tokenizer,typo_noise_light,1.4079924085736275,1.4079924085736275,0.0,0.0,1.0,0,0.0
tokenizer,typo_noise_medium,1.7133036196231841,1.7133036196231841,0.0,0.0,1.0,0,0.0
tokenizer,typo_noise_heavy,2.542591813504696,2.542591813504696,0.0,0.0,1.0,0,0.0
tokenizer,unicode_stress,0.7818000107072294,0.7818000107072294,0.0,0.0,1.0,0,0.0
tokenizer,code,0.6087281187375386,0.6087281187375386,0.0,0.0,1.0,0,0.0
tokenizer,tokenizer_stress,0.6057325550665458,0.6057325550665458,0.0,0.0,1.0,0,0.0
tokenizer,multilingual_zh,0.5048719346523285,0.5048719346523285,0.0,0.0,1.0,0,0.0
tokenizer,multilingual_ar,0.43961867354810236,0.43961867354810236,0.0,0.0,1.0,0,0.0
prefix_p64,clean_english,0.6026182875037194,0.7608850906193256,0.15826680311560626,-0.2626319286976989,1.262631928697699,0,0.0
prefix_p64,typo_noise_light,1.4079924085736275,0.7591296822577714,-0.6488627263158561,0.4608424891815923,1.262631928697699,0,0.0
prefix_p64,typo_noise_medium,1.7133036196231841,0.7771034213155508,-0.9362001983076333,0.5464298257383807,1.262631928697699,0,0.0
prefix_p64,typo_noise_heavy,2.542591813504696,0.8082040528953075,-1.7343877606093883,0.6821337783742475,1.262631928697699,0,0.0
prefix_p64,unicode_stress,0.7818000107072294,0.7826232803054154,0.0008232695981860161,-0.0010530437284610326,1.262631928697699,0,0.0
prefix_p64,code,0.6087281187375386,0.6307005989054839,0.021972480167945285,-0.03609572071931676,1.262631928697699,0,0.0
prefix_p64,tokenizer_stress,0.6057325550665458,0.940099103252093,0.33436654818554723,-0.5520035952976207,1.262631928697699,0,0.0
prefix_p64,multilingual_zh,0.5048719346523285,4.593723857402802,4.088851922750473,-8.098790291375954,1.262631928697699,0,0.0
prefix_p64,multilingual_ar,0.43961867354810236,4.086562243103981,3.6469435695558787,-8.295697587461184,1.262631928697699,0,0.0
kv_p32_all_s71,clean_english,0.6026182875037194,0.41815282678836957,-0.1844654607153498,0.30610664253067704,0.6938933574693229,0,0.0
kv_p32_all_s71,typo_noise_light,1.4079924085736275,0.41551753171952444,-0.9924748768541031,0.7048865255314365,0.6938933574693229,0,0.0
kv_p32_all_s71,typo_noise_medium,1.7133036196231841,0.4207064946508035,-1.2925971249723807,0.7544472037341918,0.6938933574693229,0,0.0
kv_p32_all_s71,typo_noise_heavy,2.542591813504696,0.4514816269499715,-2.091110186554724,0.822432517656992,0.6938933574693229,0,0.0
kv_p32_all_s71,unicode_stress,0.7818000107072294,0.4947169879451394,-0.28708302276208997,0.3672077498469076,0.6938933574693229,0,0.0
kv_p32_all_s71,code,0.6087281187375386,0.5914471092323462,-0.017281009505192402,0.028388715706171186,0.6938933574693229,0,0.0
kv_p32_all_s71,tokenizer_stress,0.6057325550665458,0.7884587111572424,0.18272615609069665,-0.30166144210397006,0.6938933574693229,0,0.0
kv_p32_all_s71,multilingual_zh,0.5048719346523285,10.822190415859222,10.317318481206893,-20.435515965671055,0.6938933574693229,0,0.0
kv_p32_all_s71,multilingual_ar,0.43961867354810236,10.666944766044617,10.227326092496515,-23.264084780460212,0.6938933574693229,0,0.0
kv_p32_all_s72,clean_english,0.6026182875037194,0.3965913357986137,-0.20602695170510565,0.3418863250210176,0.6581136749789823,0,0.0
kv_p32_all_s72,typo_noise_light,1.4079924085736275,0.38727293062373064,-1.020719477949897,0.724946719694278,0.6581136749789823,0,0.0
kv_p32_all_s72,typo_noise_medium,1.7133036196231841,0.39456891584442927,-1.318734703778755,0.769702864497999,0.6581136749789823,0,0.0
kv_p32_all_s72,typo_noise_heavy,2.542591813504696,0.42976272562053053,-2.1128290878841653,0.8309745499305499,0.6581136749789823,0,0.0
kv_p32_all_s72,unicode_stress,0.7818000107072294,0.847932496573776,0.06613248586654663,-0.08459002936917598,0.6581136749789823,0,0.0
kv_p32_all_s72,code,0.6087281187375386,1.0948035324613252,0.4860754137237866,-0.7985098745428,0.6581136749789823,0,0.0
kv_p32_all_s72,tokenizer_stress,0.6057325550665458,1.9404495865106584,1.3347170314441126,-2.203475808391181,0.6581136749789823,0,0.0
kv_p32_all_s72,multilingual_zh,0.5048719346523285,11.42892246246338,10.924050527811051,-21.637270321499873,0.6581136749789823,0,0.0
kv_p32_all_s72,multilingual_ar,0.43961867354810236,11.750733232498169,11.311114558950067,-25.7293769340133,0.6581136749789823,0,0.0
