bucket,count,qwen05_input_tokens_mean,qwen05_tokens_per_byte_mean,qwen05_bytes_per_token_mean,qwen05_chars_per_token_mean,tinyllama_input_tokens_mean,tinyllama_tokens_per_byte_mean,tinyllama_bytes_per_token_mean,tinyllama_chars_per_token_mean,tiny_minus_qwen_tokens_mean,qwen_loss_mean,tiny_loss_mean
clean_english,500,27.24,0.2183789057635799,4.677905303996353,4.677905303996353,30.158,0.24149062790370568,4.218922164820035,4.218922164820035,2.918,0.30890142926573755,0.6026182875037194
code,120,24.25,0.453462529491896,2.3170813859964277,2.3170813859964277,28.625,0.5327623629150561,1.9840380539313465,1.9840380539313465,4.375,0.3875852378706137,0.6087281187375386
multilingual_ar,80,23.3375,0.28576908242727006,3.507098814229249,2.0472835968379446,44.6875,0.5474436159271231,1.829791732265755,1.067982912374612,21.35,0.380582083016634,0.43961867354810236
multilingual_hi,80,43.0875,0.3836911620294599,2.607023680684395,1.0882388940424654,53.1,0.4733543371522095,2.113263888888889,0.8820138888888889,10.0125,0.20375295225530862,0.3348951978608966
multilingual_ja,80,21.35,0.2969572368421053,3.3766459627329195,1.344860248447205,35.025,0.4873149671052632,2.083332141239301,0.8296247287986076,13.675,0.5564543843269348,0.4742991540580988
multilingual_ko,80,19.675,0.3354863643570636,2.9921992481203006,1.4031015037593986,39.3375,0.666194307911844,1.5027696078431372,0.704828431372549,19.6625,0.37660561315715313,0.4692196179181337
multilingual_latin,80,19.9625,0.3705357142857143,2.751841432225064,2.599032928388747,21.975,0.40736607142857145,2.485116323417239,2.3452231121281466,2.0125,0.41324442997574806,0.7521897450089454
multilingual_ru,80,23.3125,0.24047341291372762,4.1737717391304345,2.366482213438735,27.3,0.28152024860652103,3.569102564102564,2.0237179487179486,3.9875,0.3207838121801615,0.6453755043447018
multilingual_zh,80,18.3375,0.3178843045424403,3.15906432748538,1.3076754385964913,31.65,0.5495922786803713,1.834115347018573,0.7589442815249268,13.3125,0.6084793820977211,0.5048719346523285
tokenizer_stress,120,24.2,0.5840184244690343,1.9629828984225268,1.9629828984225268,29.1,0.6995769057046874,1.5704542631375749,1.5704542631375749,4.9,0.48062532022595406,0.6057325550665458
typo_noise_heavy,200,51.09,0.38809380709186914,2.644093874243072,2.644093874243072,56.015,0.42563626156020234,2.407859129436571,2.407859129436571,4.925,2.8353178641200065,2.542591813504696
typo_noise_light,200,39.47,0.3087417306409863,3.414542298525422,3.414542298525422,44.185,0.345913690212646,3.0663396687915028,3.0663396687915028,4.715,1.3838238319009541,1.4079924085736275
typo_noise_medium,200,43.82,0.33941534227135534,3.0549283695288607,3.0549283695288607,48.25,0.37367863305411364,2.7787963141438587,2.7787963141438587,4.43,1.842755225598812,1.7133036196231841
unicode_stress,128,23.5078125,0.3828828089966573,2.711999875252403,2.282936103036057,30.9921875,0.49268450825265514,2.183435692471373,1.875215331339287,7.484375,0.5613888148218393,0.7818000107072294
