id,bucket,byte_len,char_len,qwen_tokenizer_loss,tinyllama_tokenizer_loss,qwen05_input_tokens,qwen05_tokens_per_byte,qwen05_bytes_per_token,qwen05_chars_per_token,tinyllama_input_tokens,tinyllama_tokens_per_byte,tinyllama_bytes_per_token,tinyllama_chars_per_token,tiny_minus_qwen_tokens
test_clean_english_200000,clean_english,137,137,0.26935014128685,0.49740442633628845,29,0.2116788321167883,4.724137931034483,4.724137931034483,35,0.25547445255474455,3.914285714285714,3.914285714285714,6
test_clean_english_200001,clean_english,134,134,0.2530123293399811,0.5169557929039001,30,0.22388059701492538,4.466666666666667,4.466666666666667,34,0.2537313432835821,3.9411764705882355,3.9411764705882355,4
test_clean_english_200002,clean_english,140,140,0.3089042603969574,0.583797812461853,24,0.17142857142857143,5.833333333333333,5.833333333333333,28,0.2,5.0,5.0,4
test_clean_english_200003,clean_english,123,123,0.3341258466243744,0.7339643836021423,23,0.18699186991869918,5.3478260869565215,5.3478260869565215,25,0.2032520325203252,4.92,4.92,2
test_clean_english_200004,clean_english,134,134,0.26513537764549255,0.5644593834877014,29,0.21641791044776118,4.620689655172414,4.620689655172414,31,0.23134328358208955,4.32258064516129,4.32258064516129,2
test_clean_english_200005,clean_english,112,112,0.27439454197883606,0.5782185792922974,30,0.26785714285714285,3.7333333333333334,3.7333333333333334,32,0.2857142857142857,3.5,3.5,2
test_clean_english_200006,clean_english,124,124,0.30294957756996155,0.5454103946685791,28,0.22580645161290322,4.428571428571429,4.428571428571429,32,0.25806451612903225,3.875,3.875,4
test_clean_english_200007,clean_english,131,131,0.42524459958076477,0.7414626479148865,25,0.19083969465648856,5.24,5.24,27,0.20610687022900764,4.851851851851852,4.851851851851852,2
test_clean_english_200008,clean_english,104,104,0.2069484293460846,0.5566365122795105,30,0.28846153846153844,3.466666666666667,3.466666666666667,32,0.3076923076923077,3.25,3.25,2
test_clean_english_200009,clean_english,129,129,0.3586792051792145,0.729551374912262,24,0.18604651162790697,5.375,5.375,26,0.20155038759689922,4.961538461538462,4.961538461538462,2
test_clean_english_200010,clean_english,124,124,0.2677556872367859,0.6117523908615112,28,0.22580645161290322,4.428571428571429,4.428571428571429,30,0.24193548387096775,4.133333333333334,4.133333333333334,2
test_clean_english_200011,clean_english,129,129,0.31386634707450867,0.5647659301757812,28,0.21705426356589147,4.607142857142857,4.607142857142857,32,0.24806201550387597,4.03125,4.03125,4
test_clean_english_200012,clean_english,144,144,0.43997058272361755,0.6576478481292725,23,0.1597222222222222,6.260869565217392,6.260869565217392,27,0.1875,5.333333333333333,5.333333333333333,4
test_clean_english_200013,clean_english,111,111,0.31961098313331604,0.6166458129882812,28,0.25225225225225223,3.9642857142857144,3.9642857142857144,32,0.2882882882882883,3.46875,3.46875,4
test_clean_english_200014,clean_english,129,129,0.28391626477241516,0.6505630612373352,26,0.20155038759689922,4.961538461538462,4.961538461538462,29,0.2248062015503876,4.448275862068965,4.448275862068965,3
test_clean_english_200015,clean_english,134,134,0.25600606203079224,0.5130441188812256,29,0.21641791044776118,4.620689655172414,4.620689655172414,33,0.2462686567164179,4.0606060606060606,4.0606060606060606,4
test_clean_english_200016,clean_english,141,141,0.3203202784061432,0.6556994318962097,25,0.1773049645390071,5.64,5.64,27,0.19148936170212766,5.222222222222222,5.222222222222222,2
test_clean_english_200017,clean_english,127,127,0.2642399072647095,0.6361319422721863,25,0.1968503937007874,5.08,5.08,28,0.2204724409448819,4.535714285714286,4.535714285714286,3
test_clean_english_200018,clean_english,129,129,0.32731252908706665,0.6523931622505188,28,0.21705426356589147,4.607142857142857,4.607142857142857,29,0.2248062015503876,4.448275862068965,4.448275862068965,1
test_clean_english_200019,clean_english,119,119,0.2961103022098541,0.6278276443481445,28,0.23529411764705882,4.25,4.25,29,0.24369747899159663,4.103448275862069,4.103448275862069,1
test_clean_english_200020,clean_english,135,135,0.2724262773990631,0.529291570186615,28,0.2074074074074074,4.821428571428571,4.821428571428571,32,0.23703703703703705,4.21875,4.21875,4
test_clean_english_200021,clean_english,126,126,0.28303349018096924,0.6320635676383972,28,0.2222222222222222,4.5,4.5,30,0.23809523809523808,4.2,4.2,2
test_clean_english_200022,clean_english,117,117,0.27212801575660706,0.8257694244384766,26,0.2222222222222222,4.5,4.5,27,0.23076923076923078,4.333333333333333,4.333333333333333,1
test_clean_english_200023,clean_english,107,107,0.24039281904697418,0.5472301244735718,28,0.2616822429906542,3.8214285714285716,3.8214285714285716,32,0.29906542056074764,3.34375,3.34375,4
test_clean_english_200024,clean_english,136,136,0.2972232699394226,0.6770702004432678,25,0.18382352941176472,5.44,5.44,27,0.19852941176470587,5.037037037037037,5.037037037037037,2
test_clean_english_200025,clean_english,127,127,0.26412996649742126,0.4891837537288666,29,0.2283464566929134,4.379310344827586,4.379310344827586,33,0.25984251968503935,3.8484848484848486,3.8484848484848486,4
test_clean_english_200026,clean_english,111,111,0.25394192337989807,0.555655300617218,28,0.25225225225225223,3.9642857142857144,3.9642857142857144,32,0.2882882882882883,3.46875,3.46875,4
test_clean_english_200027,clean_english,123,123,0.2721116244792938,0.6313767433166504,30,0.24390243902439024,4.1,4.1,32,0.2601626016260163,3.84375,3.84375,2
test_clean_english_200028,clean_english,125,125,0.27054545283317566,0.6043630838394165,30,0.24,4.166666666666667,4.166666666666667,32,0.256,3.90625,3.90625,2
test_clean_english_200029,clean_english,143,143,0.4345965087413788,0.6492727994918823,25,0.17482517482517482,5.72,5.72,28,0.1958041958041958,5.107142857142857,5.107142857142857,3
test_clean_english_200030,clean_english,139,139,0.29425621032714844,0.6246286630630493,27,0.19424460431654678,5.148148148148148,5.148148148148148,30,0.2158273381294964,4.633333333333334,4.633333333333334,3
test_clean_english_200031,clean_english,129,129,0.31062036752700806,0.5568303465843201,30,0.23255813953488372,4.3,4.3,34,0.26356589147286824,3.7941176470588234,3.7941176470588234,4
test_clean_english_200032,clean_english,136,136,0.3458678722381592,0.6672878265380859,23,0.16911764705882354,5.913043478260869,5.913043478260869,28,0.20588235294117646,4.857142857142857,4.857142857142857,5
test_clean_english_200033,clean_english,128,128,0.35992804169654846,0.6017266511917114,28,0.21875,4.571428571428571,4.571428571428571,30,0.234375,4.266666666666667,4.266666666666667,2
test_clean_english_200034,clean_english,141,141,0.3110080659389496,0.7373484969139099,25,0.1773049645390071,5.64,5.64,27,0.19148936170212766,5.222222222222222,5.222222222222222,2
test_clean_english_200035,clean_english,116,116,0.3866245448589325,0.5679280757904053,26,0.22413793103448276,4.461538461538462,4.461538461538462,28,0.2413793103448276,4.142857142857143,4.142857142857143,2
test_clean_english_200036,clean_english,131,131,0.2459166944026947,0.5287649631500244,29,0.22137404580152673,4.517241379310345,4.517241379310345,33,0.25190839694656486,3.9696969696969697,3.9696969696969697,4
test_clean_english_200037,clean_english,131,131,0.2896837890148163,0.5699326992034912,29,0.22137404580152673,4.517241379310345,4.517241379310345,31,0.2366412213740458,4.225806451612903,4.225806451612903,2
test_clean_english_200038,clean_english,122,122,0.24066093564033508,0.5387349128723145,28,0.22950819672131148,4.357142857142857,4.357142857142857,32,0.26229508196721313,3.8125,3.8125,4
test_clean_english_200039,clean_english,128,128,0.3023238778114319,0.6550586223602295,28,0.21875,4.571428571428571,4.571428571428571,30,0.234375,4.266666666666667,4.266666666666667,2
test_clean_english_200040,clean_english,125,125,0.23232126235961914,0.5261359810829163,26,0.208,4.8076923076923075,4.8076923076923075,31,0.248,4.032258064516129,4.032258064516129,5
test_clean_english_200041,clean_english,136,136,0.30046725273132324,0.7183555960655212,24,0.17647058823529413,5.666666666666667,5.666666666666667,27,0.19852941176470587,5.037037037037037,5.037037037037037,3
test_clean_english_200042,clean_english,128,128,0.28428640961647034,0.5159579515457153,28,0.21875,4.571428571428571,4.571428571428571,32,0.25,4.0,4.0,4
test_clean_english_200043,clean_english,95,95,0.2741323411464691,0.5307536721229553,28,0.29473684210526313,3.392857142857143,3.392857142857143,30,0.3157894736842105,3.1666666666666665,3.1666666666666665,2
test_clean_english_200044,clean_english,109,109,0.31926313042640686,0.5647663474082947,28,0.25688073394495414,3.892857142857143,3.892857142857143,33,0.30275229357798167,3.303030303030303,3.303030303030303,5
