step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,10.357649803161621,49299.66131544113,0.0,2413.376953125,2572.0,0.350787061965093
2,10.750005722045898,20777.43950843811,0.0,2468.11181640625,2582.0,0.3784055319847539
3,8.109230041503906,8908.738147616386,0.0,2471.93505859375,2586.0,0.40344674000516534
4,8.235245704650879,7249.423821687698,0.0,2471.93505859375,2586.0,0.4278848769608885
5,7.365264892578125,4035.863367572427,0.0,2479.70166015625,2594.0,0.45224965596571565
6,7.139851093292236,3550.0560945793986,0.0,2502.775390625,2648.0,0.48115873092319816
7,6.411850929260254,2432.057849660516,0.0,2502.775390625,2648.0,0.5061754769412801
8,7.660430908203125,2953.4735755994916,0.0,2502.775390625,2648.0,0.5309219419723377
9,6.310040473937988,2515.3349631242454,0.0,2502.775390625,2648.0,0.5554746749112383
10,5.472096920013428,2030.894067890942,0.0,2576.35546875,2714.0,0.5804601450217888
11,6.00364351272583,1680.6853712908924,0.0,2576.35546875,2714.0,0.6051754229702055
12,6.747437477111816,2064.5529665928334,0.0,2576.35546875,2714.0,0.629673296934925
13,5.839554309844971,1913.9607691075653,0.0,2576.35546875,2714.0,0.6544770379550755
14,6.331798553466797,1964.2201848328114,0.0,2576.35546875,2714.0,0.6785092449281365
15,6.479705810546875,1923.9628273881972,0.0,2576.35546875,2714.0,0.7029886880191043
16,5.766434669494629,1777.1039017401636,0.0,2576.35546875,2714.0,0.7270917949499562
17,5.812704086303711,2006.7372777312994,0.0,2576.35546875,2714.0,0.7515627279644832
18,5.379507064819336,2423.276774097234,0.0,2576.35546875,2714.0,0.7759885179111734
19,5.060845851898193,2426.0561493653804,0.0,2576.35546875,2714.0,0.8005286729894578
20,5.027501106262207,2602.847775977105,0.0,2576.35546875,2714.0,0.8246900460217148
21,5.095247268676758,2906.7749398984015,0.0,2576.35546875,2714.0,0.8491567969322205
22,4.899016380310059,2931.7562861070037,0.0,2576.35546875,2714.0,0.8731667950050905
23,5.676309585571289,3128.723367895931,0.0,2576.35546875,2714.0,0.8975812189746648
24,5.867966651916504,3195.7075439319015,0.0,2576.35546875,2714.0,0.9220243929885328
25,4.476075649261475,2165.6110950894654,0.0,2576.35546875,2714.0,0.9464624689426273
26,4.993072509765625,2354.081571623683,0.0,2576.35546875,2714.0,0.9709501309553161
27,5.170007228851318,3774.56048072502,0.0,2576.35546875,2714.0,0.9955176059156656
28,4.5798444747924805,3389.7016275003552,0.0,2576.35546875,2714.0,1.020065816002898
29,5.384415149688721,3032.119591930881,0.0,2576.35546875,2714.0,1.0441406319150701
30,4.462860584259033,2675.68898752518,0.0,2576.35546875,2714.0,1.068446900928393
31,4.520115375518799,3132.967059381306,0.0,2576.35546875,2714.0,1.0929580730153248
32,5.40238094329834,2726.3550091274083,0.0,2576.35546875,2714.0,1.1173906129552051
33,4.053434371948242,2104.45562614128,0.0,2576.35546875,2714.0,1.141860255971551
34,3.9932684898376465,2131.3585157180205,0.0,2576.35546875,2714.0,1.1657433959189802
35,4.518192291259766,3478.790638923645,0.0,2576.35546875,2714.0,1.190437309909612
36,3.9034347534179688,2348.435299091041,0.0,2576.35546875,2714.0,1.2149535699281842
37,4.390050411224365,2573.6712962538004,0.0,2576.35546875,2714.0,1.2393843969330192
38,4.827363014221191,2619.484334986657,0.0,2576.35546875,2714.0,1.2637391289463267
39,3.941537857055664,2033.5770689994097,0.0,2576.35546875,2714.0,1.2880258979275823
40,3.624897003173828,2247.5027794186026,0.0,2576.35546875,2714.0,1.312070981017314
41,4.075821399688721,2982.3359014838934,0.0,2576.35546875,2714.0,1.3365450699348003
42,3.905609607696533,3152.9723752215505,0.0,2576.35546875,2714.0,1.3611835240153596
43,4.018632888793945,2804.14071797207,0.0,2576.35546875,2714.0,1.3853128909831867
44,3.5625391006469727,2568.558489985764,0.0,2576.35546875,2714.0,1.4092723299982026
45,3.4160425662994385,1897.2692221319303,0.0,2576.35546875,2714.0,1.4338240419747308
46,3.4273643493652344,2143.4519605021924,0.0,2576.35546875,2714.0,1.4585373259615153
47,3.0574817657470703,2522.098091326654,0.0,2576.35546875,2714.0,1.4829011469846591
48,3.3237318992614746,2557.2174389511347,0.0,2576.35546875,2714.0,1.5070552879478782
49,3.4021992683410645,2594.5674362555146,0.0,2576.35546875,2714.0,1.5314889759756625
50,4.1361870765686035,3041.420663256198,0.0,2576.35546875,2714.0,1.5560037039685994
51,4.203505039215088,4018.7520061656833,0.0,2576.35546875,2714.0,1.5805092549417168
52,2.730813980102539,2711.95029008016,0.0,2576.35546875,2714.0,1.6045227089198306
53,4.1115217208862305,2802.0226824581623,0.0,2576.35546875,2714.0,1.6290055419085547
54,3.777941942214966,2717.780520854518,0.0,2576.35546875,2714.0,1.6534333529416472
55,2.99654483795166,2357.3352122455835,0.0,2576.35546875,2714.0,1.6778706199256703
56,3.532898426055908,2886.8120070863515,0.0,2576.35546875,2714.0,1.7024094290100038
57,3.7504358291625977,2832.2669020798057,0.0,2576.35546875,2714.0,1.726743794977665
58,3.351130962371826,2664.6320257522166,0.0,2576.35546875,2714.0,1.7513579389778897
59,3.172511339187622,3528.129287928343,0.0,2576.35546875,2714.0,1.7758677449310198
60,3.877296209335327,2214.8689666837454,0.0,2576.35546875,2714.0,1.8002020509447902
61,4.124448776245117,2026.3236990347505,0.0,2576.35546875,2714.0,1.8246891049202532
62,3.3073341846466064,2348.1597117800266,0.0,2576.35546875,2714.0,1.8491041159722954
63,3.079115629196167,2206.2305701598525,0.0,2576.35546875,2714.0,1.873680982971564
64,3.6969823837280273,2267.260829254985,0.0,2576.35546875,2714.0,1.8978691910160705
65,3.375736713409424,2508.398932427168,0.0,2576.35546875,2714.0,1.9218814539490268
66,3.679622173309326,2881.3286892175674,0.0,2576.35546875,2714.0,1.9459668030031025
67,3.6326310634613037,2338.37977726385,0.0,2576.35546875,2714.0,1.970411064918153
68,3.82932710647583,2804.0526281557977,0.0,2576.35546875,2714.0,1.9949101340025663
69,3.0301637649536133,2908.446778971702,0.0,2576.35546875,2714.0,2.0192567239282653
70,2.5698342323303223,2039.172268718481,0.0,2576.35546875,2714.0,2.0438652229495347
71,2.5122132301330566,2321.0714303143322,0.0,2576.35546875,2714.0,2.0682721940102056
72,2.5924057960510254,2005.383845913224,0.0,2576.35546875,2714.0,2.0923299639252946
73,3.3015265464782715,2215.9863935615867,0.0,2576.35546875,2714.0,2.117000455968082
74,2.8866515159606934,2965.7292686887085,0.0,2576.35546875,2714.0,2.1411256729625165
75,3.450021505355835,2471.1245850622654,0.0,2576.35546875,2714.0,2.165431687957607
76,4.208151340484619,2413.5565969208255,0.0,2576.35546875,2714.0,2.1896468870108947
77,2.6162900924682617,2193.982351064682,0.0,2576.35546875,2714.0,2.214182416908443
78,2.4814093112945557,2084.0121729234233,0.0,2576.35546875,2714.0,2.2386690910207108
79,3.7757856845855713,2688.276060193777,0.0,2576.35546875,2714.0,2.263157330919057
80,2.966249942779541,2419.4530627112836,0.0,2576.35546875,2714.0,2.287501413957216
81,3.7385501861572266,2694.8915656618774,0.0,2576.35546875,2714.0,2.31191000493709
82,2.492062568664551,2525.161349597387,0.0,2576.35546875,2714.0,2.3368569179438055
83,2.6504547595977783,2255.3103047776967,0.0,2576.35546875,2714.0,2.36135983990971
84,2.338306427001953,2419.2048896811903,0.0,2576.35546875,2714.0,2.38541709294077
85,2.798977851867676,2260.509633307345,0.0,2576.35546875,2714.0,2.4097978769568726
86,2.7186076641082764,3263.664257172495,0.0,2576.35546875,2714.0,2.4342527269618586
87,3.1431920528411865,2841.4433199148625,0.0,2576.35546875,2714.0,2.458736566011794
88,2.383645534515381,2650.379417259246,0.0,2576.35546875,2714.0,2.4831957150017843
89,2.73539400100708,4549.572156101465,0.0,2576.35546875,2714.0,2.50756818393711
90,2.321347236633301,2817.0478744041175,0.0,2576.35546875,2714.0,2.5315954979741946
91,5.106818199157715,6948.106194332242,0.0,2576.35546875,2714.0,2.556201084982604
92,3.7955095767974854,2401.1785391680896,0.0,2576.35546875,2714.0,2.5803435769630596
93,3.637186050415039,2976.2349418513477,0.0,2576.35546875,2714.0,2.604759875917807
94,3.433018207550049,2568.1329017486423,0.0,2576.35546875,2714.0,2.6293401189614087
95,2.4154465198516846,2326.557283276692,0.0,2576.35546875,2714.0,2.6535138059407473
96,2.87788987159729,2873.50640732795,0.0,2576.35546875,2714.0,2.6781474519521
97,2.9204485416412354,2714.1049607917666,0.0,2576.35546875,2714.0,2.7023166879080236
98,2.656980514526367,3550.5892310570925,0.0,2576.35546875,2714.0,2.726842598989606
99,3.192701578140259,1919.5137760126963,0.0,2576.35546875,2714.0,2.751514419913292
100,2.318432331085205,2061.1981229819357,0.0,2576.35546875,2714.0,2.7763160039903596
101,2.2537474632263184,2731.797255050391,0.0,2576.35546875,2714.0,2.800412087002769
102,1.9856650829315186,1904.3919947203249,0.0,2576.35546875,2714.0,2.8247169390087947
103,2.22476863861084,3043.0271653141826,0.0,2576.35546875,2714.0,2.8491643419256434
104,2.0171539783477783,2164.3744391314685,0.0,2576.35546875,2714.0,2.873702249955386
105,1.7455542087554932,2298.432762610726,0.0,2576.35546875,2714.0,2.8981378289172426
106,2.772158145904541,2513.9060712195933,0.0,2576.35546875,2714.0,2.9225106259109452
107,3.523890733718872,2087.9895094353706,0.0,2576.35546875,2714.0,2.9466247929958627
108,2.953097343444824,1622.0536274136975,0.0,2576.35546875,2714.0,2.9710463819792494
109,2.025468111038208,2625.3770787753165,0.0,2576.35546875,2714.0,2.9956446919823065
110,2.032132148742676,2405.3977988511324,0.0,2576.35546875,2714.0,3.019674994982779
111,1.94906485080719,2212.9797862824053,0.0,2576.35546875,2714.0,3.044105838984251
112,3.088168144226074,2533.4410836733878,0.0,2576.35546875,2714.0,3.068202535971068
113,2.378218412399292,2880.5901339333504,0.0,2576.35546875,2714.0,3.0921582439914346
114,1.8827067613601685,2031.3406893461943,0.0,2576.35546875,2714.0,3.116083288914524
115,1.8096243143081665,3303.1383832134306,0.0,2576.35546875,2714.0,3.1405662019969895
116,2.1644816398620605,2860.4401186015457,0.0,2576.35546875,2714.0,3.1648972670082003
