step,loss,adapter_grad_abs_sum,llm_grad_abs_sum,gpu_mem_allocated_mb,gpu_mem_reserved_mb,elapsed_sec
1,9.799214363098145,48128.0634727478,0.0,2280.78662109375,2546.0,0.36113183794077486
2,9.716094970703125,20304.738614320755,0.0,2328.49169921875,2546.0,0.3862339110346511
3,8.747234344482422,8081.6006321311,0.0,2328.49169921875,2546.0,0.40874257404357195
4,7.330284118652344,6011.351777881384,0.0,2328.49169921875,2546.0,0.43098298204131424
5,7.370244026184082,3183.2012804448605,0.0,2335.14013671875,2554.0,0.45365628704894334
6,7.73369026184082,5005.725334972143,0.0,2349.07666015625,2566.0,0.4768017469905317
7,7.187070369720459,3263.106528632343,0.0,2349.07666015625,2566.0,0.4992730040103197
8,6.458407402038574,2974.2882634177804,0.0,2349.07666015625,2566.0,0.5216960170073435
9,5.99884557723999,2612.4932532906532,0.0,2349.07666015625,2566.0,0.5440847260178998
10,6.591521263122559,2484.9473311007023,0.0,2349.07666015625,2566.0,0.5665231189923361
11,6.143244743347168,2518.011795260012,0.0,2349.07666015625,2566.0,0.588869538041763
12,5.9390869140625,2310.0426342226565,0.0,2349.07666015625,2566.0,0.6110101089579985
13,5.4088897705078125,2719.360636498779,0.0,2349.07666015625,2566.0,0.6334109109593555
14,5.409816741943359,2452.7823272794485,0.0,2349.07666015625,2566.0,0.6554517860058695
15,6.007672309875488,2873.5982248187065,0.0,2349.07666015625,2566.0,0.6776963579468429
16,5.661312103271484,2502.619131922722,0.0,2349.07666015625,2566.0,0.7000719419447705
17,5.931048393249512,3752.96881602332,0.0,2349.07666015625,2566.0,0.7223973149666563
18,5.099038124084473,2810.5633815713227,0.0,2349.07666015625,2566.0,0.7448270069435239
19,5.541311740875244,3946.0775852501392,0.0,2349.07666015625,2566.0,0.7670235879486427
20,5.013387203216553,2725.9804000947624,0.0,2349.07666015625,2566.0,0.7892863570014015
