model,bucket,tokenizer_loss,kv_no_multilingual_train_loss,kv_with_multilingual_train_loss,delta_with_minus_no,relative_change_with_vs_no,with_multi_beats_tokenizer,no_multi_beats_tokenizer
qwen05,clean_english,0.30890142926573755,0.49845866935979577,0.6919792554739397,0.1935205861141439,0.3882379784119223,False,False
qwen05,code,0.3875852378706137,1.3461730279028417,0.6888532273471355,-0.6573198005557062,-0.4882877512259497,False,False
qwen05,multilingual_ar,0.380582083016634,10.75029684305191,0.4504325557500124,-10.299864287301897,-0.9581004541245636,False,False
qwen05,multilingual_hi,0.20375295225530862,5.0683850169181826,0.2777008740231395,-4.790684142895043,-0.945209199163801,False,False
qwen05,multilingual_ja,0.5564543843269348,11.055538475513458,0.5454777803272008,-10.510060695186258,-0.9506602250505156,True,False
qwen05,multilingual_ko,0.37660561315715313,10.546202921867371,0.5265430402010679,-10.019659881666303,-0.9500727376381798,False,False
qwen05,multilingual_latin,0.41324442997574806,9.428616178035735,0.5603440769016743,-8.86827210113406,-0.9405698496660608,False,False
qwen05,multilingual_ru,0.3207838121801615,8.884475302696227,0.5332316856831312,-8.351243617013097,-0.9399816345348715,False,False
qwen05,multilingual_zh,0.6084793820977211,11.121718811988831,0.5103363882750273,-10.611382423713804,-0.9541135325481434,True,False
qwen05,tokenizer_stress,0.48062532022595406,1.5969179809093474,1.1035949734350046,-0.4933230074743429,-0.30892194425253167,False,False
qwen05,typo_noise_heavy,2.8353178641200065,0.5986323460889981,0.7213316771097016,0.12269933102070352,0.20496608949103115,True,True
qwen05,typo_noise_light,1.3838238319009541,0.5167389491887298,0.6856029731291347,0.1688640239404049,0.3267878765584018,True,True
qwen05,typo_noise_medium,1.842755225598812,0.5298217818071135,0.6908645416249055,0.16104275981779204,0.3039564724358976,True,True
qwen05,unicode_stress,0.5613888148218393,0.9808715163671877,0.6455736497882754,-0.33529786657891236,-0.34183668399378225,False,False
tinyllama,clean_english,0.6026182875037194,0.41815282678836957,0.3413698179391213,-0.07678300884924827,-0.18362427306538037,True,True
tinyllama,code,0.6087281187375386,0.5914471092323462,0.7499438141783078,0.15849670494596158,0.26798119810185284,False,True
tinyllama,multilingual_ar,0.43961867354810236,10.666944766044617,0.27977158427238463,-10.387173181772232,-0.9737720977835225,True,False
tinyllama,multilingual_hi,0.3348951978608966,11.62155178785324,0.21967272069305183,-11.40187906716019,-0.9810978151022266,True,False
tinyllama,multilingual_ja,0.4742991540580988,10.13969259262085,0.3671602249145508,-9.7725323677063,-0.9637898070813555,True,False
tinyllama,multilingual_ko,0.4692196179181337,10.39237426519394,0.28449997287243606,-10.107874292321505,-0.9726241602147374,True,False
tinyllama,multilingual_latin,0.7521897450089454,9.407748746871949,0.4732423160225153,-8.934506430849433,-0.9496965396551574,True,False
tinyllama,multilingual_ru,0.6453755043447018,10.646006524562836,0.36502325236797334,-10.280983272194863,-0.9657126593407792,True,False
tinyllama,multilingual_zh,0.5048719346523285,10.822190415859222,0.3345412366092205,-10.48764917925,-0.9690874745542296,True,False
tinyllama,tokenizer_stress,0.6057325550665458,0.7884587111572424,0.8291125354667505,0.040653824309508035,0.051561132795196474,False,False
tinyllama,typo_noise_heavy,2.542591813504696,0.4514816269499715,0.3943848295335192,-0.057096797416452294,-0.12646538421103715,True,True
tinyllama,typo_noise_light,1.4079924085736275,0.41551753171952444,0.34097790014231577,-0.07453963157720866,-0.17938985936103205,True,True
tinyllama,typo_noise_medium,1.7133036196231841,0.4207064946508035,0.3541757448320277,-0.06653074981877583,-0.15814053423158572,True,True
tinyllama,unicode_stress,0.7818000107072294,0.4947169879451394,0.7512369391624816,0.25651995121734217,0.5185185822763547,True,True
